"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.422705750E0,7.120692444E0,4.891528015E0,-4.351301422E0,9.672907074E0
1.432722750E0,7.523055725E0,5.059329071E0,-4.396657104E0,1.007590054E1
1.442739750E0,7.746840363E0,5.222489777E0,-4.461921387E0,1.035358284E1
1.452756750E0,7.783963165E0,5.329666901E0,-4.583169250E0,1.048813006E1
1.462772750E0,7.618706818E0,5.373825073E0,-4.644541626E0,1.041606722E1
1.472789750E0,7.311395874E0,5.338648224E0,-4.642745361E0,1.017412202E1
1.482806750E0,7.024891663E0,5.250631256E0,-4.747826843E0,9.972968023E0
1.492823750E0,7.024292908E0,5.135820007E0,-4.862787781E0,9.968151434E0
1.502840750E0,7.301815796E0,5.108576660E0,-4.890929260E0,1.016539514E1
1.512857750E0,7.572153625E0,5.150040436E0,-4.745431824E0,1.031404626E1
1.522873750E0,7.646997986E0,5.249733124E0,-4.549040222E0,1.033102333E1
1.532890750E0,7.719746704E0,5.323230286E0,-4.458927612E0,1.038331861E1
1.542907750E0,7.810009003E0,5.362448730E0,-4.465513916E0,1.047343838E1
1.552924750E0,7.788004761E0,5.395380249E0,-4.340972900E0,1.042147743E1
1.562941750E0,7.622149658E0,5.396877136E0,-4.246818695E0,1.025957686E1
1.572958750E0,7.460336151E0,5.351970520E0,-4.232897644E0,1.011027331E1
1.582975750E0,7.401508484E0,5.297633514E0,-4.301904144E0,1.006745390E1
1.592991750E0,7.435038757E0,5.285059662E0,-4.560416565E0,1.019848303E1
1.603008750E0,7.499255219E0,5.258265381E0,-4.690795441E0,1.029037150E1
1.613025750E0,7.505242767E0,5.215155029E0,-4.621489563E0,1.024132202E1
1.623042750E0,7.525151367E0,5.202132111E0,-4.350552979E0,1.013002432E1
1.633059750E0,7.538773041E0,5.232818298E0,-4.175267487E0,1.008208038E1
1.643076750E0,7.497758331E0,5.249583435E0,-4.081412659E0,1.002159845E1
1.653092750E0,7.351512451E0,5.224435730E0,-4.020040283E0,9.874218343E0
1.663109750E0,7.111112366E0,5.189258881E0,-4.026626587E0,9.680395058E0
1.673126750E0,6.901548157E0,5.126988373E0,-4.174219666E0,9.557274013E0
1.683143750E0,6.886429596E0,5.104085999E0,-4.462220764E0,9.663644272E0
1.693160750E0,7.066355438E0,5.138664093E0,-4.764442291E0,9.951841949E0
1.703177750E0,7.245532837E0,5.199587402E0,-4.923561401E0,1.018699721E1
1.713193750E0,7.188950500E0,5.225483551E0,-4.803211670E0,1.010235270E1
1.723210750E0,6.914720764E0,5.224435730E0,-4.506528625E0,9.768157052E0
1.733227750E0,6.718927917E0,5.268743591E0,-4.175866241E0,9.504815109E0
1.743244750E0,6.840175781E0,5.296885071E0,-4.102219391E0,9.574612269E0
1.753261750E0,7.053332520E0,5.217250671E0,-3.867806854E0,9.587968193E0
1.763278750E0,6.922354889E0,5.153483276E0,-3.807781677E0,9.432740238E0
1.773294750E0,6.701114960E0,5.091811523E0,-4.173171844E0,9.393979430E0
1.783311750E0,6.620283051E0,5.124144287E0,-4.574636993E0,9.540037000E0
1.793328750E0,6.545438690E0,5.237608337E0,-5.015170898E0,9.768687112E0
1.803345750E0,6.548282776E0,5.308860168E0,-5.321434021E0,9.969035241E0
1.813362750E0,6.574328613E0,5.249134369E0,-5.422024841E0,1.000867432E1
1.823379750E0,6.486311646E0,5.166506195E0,-5.034630432E0,9.701161199E0
1.833396750E0,6.353088684E0,5.159021759E0,-4.788242798E0,9.481798903E0
1.843412750E0,6.309828644E0,5.197042694E0,-4.970713348E0,9.567192978E0
1.853429917E0,6.329587555E0,5.200335846E0,-4.919669495E0,9.555643331E0
1.863446917E0,6.318061523E0,5.250032501E0,-4.945715332E0,9.588578770E0
1.873463917E0,6.251150665E0,5.305716705E0,-5.137017517E0,9.675560106E0
1.883480917E0,6.194718018E0,5.299429779E0,-5.149291992E0,9.642286830E0
1.893497917E0,6.179449768E0,5.258564758E0,-5.396727448E0,9.744884294E0
1.903513917E0,6.234984283E0,5.188360748E0,-5.555098114E0,9.831237528E0
1.913530917E0,6.315816193E0,5.193001099E0,-5.565426636E0,9.890943748E0
1.923547917E0,6.224206696E0,5.285658417E0,-5.627996521E0,9.917322155E0
1.933564917E0,6.067183228E0,5.285808105E0,-5.544619904E0,9.772066799E0
1.943581917E0,6.022426300E0,5.288352814E0,-5.372477875E0,9.648824412E0
1.953598917E0,6.016887817E0,5.271288300E0,-5.321733398E0,9.607823151E0
1.963614917E0,6.136788483E0,5.246589661E0,-5.437143402E0,9.733930569E0
1.973631917E0,6.371799774E0,5.218747559E0,-5.616620178E0,9.969031080E0
1.983648917E0,6.416856079E0,5.192552032E0,-5.597160645E0,9.973306665E0
1.993665917E0,6.258485413E0,5.173541565E0,-5.492977295E0,9.803416320E0
2.003682917E0,6.061045990E0,5.066214752E0,-5.309758301E0,9.518211157E0
2.013699917E0,5.949527893E0,5.007985840E0,-5.319488068E0,9.421982680E0
2.023716917E0,5.932762756E0,4.997208252E0,-5.396577759E0,9.449487592E0
2.033732917E0,5.907315674E0,5.012626190E0,-5.442083130E0,9.467791114E0
2.043749917E0,5.946384430E0,5.050497437E0,-5.416935425E0,9.497905113E0
2.053766917E0,6.080804901E0,5.090464325E0,-5.514532471E0,9.659145079E0
2.063783917E0,6.203100586E0,5.097200317E0,-5.644462280E0,9.814268306E0
2.073800917E0,6.130950623E0,5.117557983E0,-5.646557922E0,9.780673373E0
2.083817917E0,6.053711243E0,5.158872070E0,-5.562732239E0,9.705945127E0
2.093833917E0,6.140979767E0,5.204377441E0,-5.509892120E0,9.754798216E0
2.103850916E0,6.158193970E0,5.234464874E0,-5.500761108E0,9.776571396E0
2.113867917E0,5.966143341E0,5.271288300E0,-5.455255737E0,9.650966887E0
2.123884917E0,5.786965942E0,5.210514679E0,-5.417983246E0,9.486463013E0
2.133901917E0,5.864205322E0,5.124743042E0,-5.510041809E0,9.540044866E0
2.143918917E0,6.230044556E0,5.034480743E0,-5.768254852E0,9.870775834E0
2.153934917E0,6.317462769E0,4.995262299E0,-5.771398315E0,9.908179438E0
2.163951917E0,6.135590973E0,5.059329071E0,-5.641618195E0,9.750391945E0
2.173968917E0,6.168672180E0,5.132227478E0,-5.513035583E0,9.735801800E0
2.183985917E0,6.472989349E0,5.140310669E0,-5.423970795E0,9.886447495E0
2.194002917E0,6.606062622E0,5.123695221E0,-5.363496552E0,9.932744401E0
2.204019917E0,6.521189117E0,5.010680237E0,-5.473068695E0,9.878628694E0
2.214036917E0,6.448290710E0,4.887486420E0,-5.517675934E0,9.793504189E0
2.224052917E0,6.268364868E0,4.856500854E0,-5.272186432E0,9.522286933E0
2.234069917E0,6.265371094E0,4.963378601E0,-5.278922424E0,9.578988675E0
2.244086917E0,6.389163666E0,5.095254364E0,-5.439688110E0,9.816987120E0
2.254103917E0,6.421346741E0,5.127437439E0,-5.486091614E0,9.880359804E0
2.264120917E0,6.300547943E0,5.081932068E0,-5.485193481E0,9.778051209E0
2.274137917E0,6.151008911E0,5.002597046E0,-5.571563873E0,9.690366960E0
2.284153917E0,6.186934204E0,4.940176849E0,-5.629643097E0,9.714750823E0
2.294170917E0,6.350094910E0,4.921316071E0,-5.745352478E0,9.876848299E0
2.304187917E0,6.505471802E0,4.941074982E0,-5.681884460E0,9.950838978E0
2.314204917E0,6.575077057E0,4.980443115E0,-5.502407684E0,9.915288309E0
2.324221916E0,6.469995575E0,5.005141754E0,-5.626948700E0,9.928486208E0
2.334238917E0,6.481970673E0,5.056934052E0,-5.847140808E0,1.008848757E1
2.344254917E0,6.602470093E0,5.095104675E0,-5.757926331E0,1.013441753E1
2.354271917E0,6.750961304E0,5.158722382E0,-5.513933716E0,1.012873932E1
2.364288917E0,6.735543365E0,5.225333862E0,-5.603148193E0,1.020131992E1
2.374305917E0,6.503226471E0,5.161267090E0,-5.834117889E0,1.014729343E1
2.384322917E0,6.307583313E0,5.013224945E0,-5.814508667E0,9.936123119E0
2.394339917E0,6.198310547E0,4.871769104E0,-5.461842041E0,9.590876202E0
2.404355917E0,6.100414124E0,4.810247040E0,-5.176086273E0,9.335169959E0
2.414372917E0,6.149961090E0,4.787344666E0,-5.112468567E0,9.320838224E0
2.424389917E0,6.446644135E0,4.852908325E0,-5.329367523E0,9.670165356E0
2.434406917E0,6.742728424E0,4.923411713E0,-5.590274963E0,1.004766359E1
2.444423917E0,6.869514771E0,4.959935760E0,-5.719306641E0,1.022260556E1
2.454440917E0,6.882986755E0,5.032385101E0,-5.722599792E0,1.026881468E1
2.464457917E0,6.870263214E0,5.106481018E0,-5.595514069E0,1.022675133E1
2.474473917E0,6.828500061E0,5.147196350E0,-5.475314026E0,1.015387153E1
2.484490917E0,6.740932159E0,5.140759735E0,-5.287903748E0,9.991471517E0
2.494507917E0,6.653064880E0,5.071004791E0,-5.169799347E0,9.833879559E0
2.504524917E0,6.474336548E0,4.978646851E0,-4.971312103E0,9.561270952E0
2.514541917E0,6.196065216E0,4.914280701E0,-4.894521790E0,9.300415180E0
2.524558917E0,6.216123505E0,4.908742218E0,-5.174888763E0,9.461258653E0
2.534574917E0,6.471791840E0,4.920567627E0,-5.599855042E0,9.871902141E0
2.544591917E0,6.655908966E0,4.944966888E0,-5.803431702E0,1.012095061E1
2.554608917E0,6.728657684E0,5.014123077E0,-5.945935364E0,1.028447431E1
2.564625917E0,6.822362823E0,5.055586853E0,-6.031856689E0,1.041570392E1
2.574642917E0,6.847360840E0,5.042563934E0,-5.938750305E0,1.037220115E1
2.584659917E0,6.703509979E0,5.014123077E0,-5.580694885E0,1.006094586E1
2.594675917E0,6.493347015E0,4.986879730E0,-5.163961487E0,9.679825574E0
2.604692917E0,6.343059540E0,4.998405762E0,-4.992867279E0,9.494587308E0
2.614709917E0,6.274352417E0,4.972060547E0,-4.845274200E0,9.357647483E0
2.624726917E0,6.139782257E0,4.927004242E0,-4.800517273E0,9.220480630E0
2.634743917E0,6.128854980E0,4.933740234E0,-5.105433197E0,9.379237933E0
2.644760917E0,6.281537476E0,4.937033386E0,-5.443430328E0,9.667623568E0
2.654776917E0,6.415508881E0,5.016667786E0,-5.647156677E0,9.910403040E0
2.664793917E0,6.457272034E0,5.170697479E0,-5.794749756E0,1.010007917E1
2.674810917E0,6.411317596E0,5.372028809E0,-5.811365204E0,1.018507007E1
2.684827917E0,6.344257050E0,5.471571808E0,-5.594915314E0,1.007426290E1
2.694844917E0,6.327192535E0,5.423072662E0,-5.159470825E0,9.801184708E0
