"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.042543666E0,5.815107422E0,5.054838409E0,-5.185516663E0,9.287434992E0
1.052560667E0,5.982010345E0,4.969216461E0,-4.986280975E0,9.237995344E0
1.062577666E0,6.131998444E0,4.913981323E0,-5.196294250E0,9.420726686E0
1.072594666E0,6.596332855E0,4.880001984E0,-4.930896149E0,9.572865993E0
1.082610666E0,7.076833649E0,4.905748444E0,-4.664300537E0,9.793040477E0
1.092627666E0,7.063361664E0,4.874014435E0,-4.564158783E0,9.720012351E0
1.102644667E0,6.724915466E0,4.855902100E0,-4.780009918E0,9.573545218E0
1.112661666E0,6.693780212E0,4.969216461E0,-5.257516937E0,9.856028111E0
1.122677667E0,6.776408386E0,5.078189850E0,-5.428311768E0,1.005854321E1
1.132694666E0,6.555767212E0,5.174140320E0,-5.749543762E0,1.013938190E1
1.142711666E0,6.043083344E0,5.263055420E0,-5.628445587E0,9.792752850E0
1.152728667E0,5.693410492E0,5.341941376E0,-5.227429504E0,9.395598965E0
1.162744666E0,5.654192047E0,5.430257721E0,-4.641547852E0,9.110518815E0
1.172761667E0,5.707780609E0,5.373376007E0,-4.642895050E0,9.110894777E0
1.182778666E0,5.660478973E0,5.074597321E0,-5.383105774E0,9.315062423E0
1.192795666E0,5.342989197E0,4.803660736E0,-5.874533844E0,9.280777872E0
1.202811666E0,5.234315186E0,4.858596497E0,-6.123615875E0,9.407586660E0
1.212828666E0,5.636229401E0,5.229375458E0,-6.634204102E0,1.015510284E1
1.222845667E0,6.404880981E0,5.470823364E0,-7.063810730E0,1.099317200E1
1.232862666E0,6.868317261E0,5.426964569E0,-6.693780212E0,1.101963792E1
1.242878667E0,6.536607056E0,5.219496002E0,-6.600823517E0,1.065557326E1
1.252895666E0,6.065386963E0,4.969066772E0,-6.143973541E0,9.961373122E0
1.262912666E0,6.226152649E0,4.777764587E0,-5.287754059E0,9.463210568E0
1.272929667E0,6.553821259E0,4.691094818E0,-4.969815216E0,9.468791209E0
1.282945666E0,6.725813599E0,4.755610657E0,-5.032834167E0,9.653073140E0
1.292962667E0,6.883585510E0,4.921316071E0,-5.376070404E0,1.002522989E1
1.302979666E0,6.927444305E0,5.045258331E0,-5.781876526E0,1.033799847E1
1.312996666E0,6.569239197E0,5.011129303E0,-5.716612244E0,1.004718747E1
1.323012666E0,5.676345978E0,4.901557159E0,-5.892795868E0,9.537882857E0
1.333029666E0,5.011877747E0,4.881049805E0,-6.501879272E0,9.550811474E0
1.343046667E0,5.111271057E0,4.987628174E0,-6.950496368E0,9.965486761E0
1.353063666E0,5.600753174E0,5.134772186E0,-7.353907471E0,1.057422700E1
1.363079667E0,6.083050232E0,5.221591644E0,-7.314838715E0,1.085243682E1
